,Domain Name,Status,Price,URL
0,team-dignitas.net,Taken,,
1,cryptomenow.com,Taken,,
2,laptoplunches.com,Taken,,
3,tutorialized.com,Taken,,
4,scrapbookpages.com,Taken,,
5,sharronangle.com,Taken,,
6,shanghaiist.com,Taken,,
7,Conor-Maynard. com,Taken,,
8,prettywomaninc.com,Taken,,
9,ManagedCareMag.com,Taken,,
10,whosdrivingyou.org,Taken,,
11,capabilitybrown.org,Taken,,
12,thejobsmovie.com,Taken,,
13,ringofkerrytourism.com,Taken,"$6,990.00 ",
14,trustart.org,Taken,,
15,guysamericankitchenandbar.com,Taken,,
16,churnalism.com,Taken,,
17,bar13.com,Get It,"$9,800.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=366796967&itc=dpp_absol1
18,1bigbite.com,Taken,,
19,mackblackwell.org,Taken,,
20,leptitlaurent.net,Taken,,
21,oomk.net,Taken,,
22,giflybike.com,Get It,"$98,000.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=391005040&itc=dpp_absol1
23,raresweets.com,Get It,"$11,295.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=424900037&itc=dpp_absol1
24,cheunoodlebar.com,Get It,"$98,000.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=428650879&itc=dpp_absol1
25,meetthecomposer.org,Taken,,
26,pixiescientific.com,Get It,"$98,000.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=431290899&itc=dpp_absol1
27,oregonmanifest.com,Get It,"$98,000.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=434790533&itc=dpp_absol1
28,chefcharlieayers.com,Get It,"$9,999.00 ",https://auctions.godaddy.com/trpItemListing.aspx?src=dpp&miid=454870997&itc=dpp_absol1
29,faithandflowerla.com,Taken,,
30,tijuana-picnic.com,Taken,,
31,sweetkisses.net,Make Offer,$250.00 ,https://www.godaddy.com/domain-auctions/sweetkisses-net-393073907?src=dpp&itc=dpp_absol1
32,festivalofdisruption.com,Taken,,
33,drizzydrake.org,Taken,,
